,Logistic Regression,XGBoost,Random Forest,Neural Network
Gini,0.337471566852817,0.3542479182147562,0.3454443376271208,0.3469980754712363
KS,0.24541607098789403,0.2577276531971125,0.2508522376457441,0.2518646746786187
ROC_AUC,0.6687357834264085,0.6771239591073781,0.6727221688135604,0.6734990377356181
PR_AUC,0.22342953279810496,0.23113779414391078,0.22618726311640047,0.22779945244047947
LogLoss,0.6485211576932186,0.3634223368806341,0.643966760873905,0.3647950526743186
BrierScore,0.2290347470168939,0.10775754864616002,0.22710893093120918,0.10805269540070264
Accuracy,0.6098367454833828,0.8701370025340456,0.6098640912985616,0.8701415601699086
F1,0.298408015243715,7.018652067870365e-05,0.3007666199696946,0.0
Precision,0.19465918203688853,0.3333333333333333,0.19600119240269143,0.0
Recall,0.638957620426428,3.509695533912433e-05,0.646134947793279,0.0
Specificity,0.6054907958589877,0.9999895243806944,0.6044510906429149,1.0
Threshold,0.5,0.5,0.5,0.5
TP,36411.0,2.0,36820.0,0.0
FP,150639.0,4.0,151036.0,0.0
TN,231200.0,381835.0,230803.0,381839.0
FN,20574.0,56983.0,20165.0,56985.0
